star_name,Simbad_ID,GaiaDR3_ID,distance_pc,ra_combined,dec_combined
V* V818 Tau,HD  27130,Gaia DR3 45788547559850496,46.640920878341824,64.41227416666666,16.947829722222224
V* V815 Her,V* V815 Her,Gaia DR3 4590455518346609792,32.385398864746094,272.06734740577184,29.691025972297254
V* V835 Her,V* V835 Her,Gaia DR3 4608207477172347904,31.291200637817383,268.85208825690773,36.18878231603982
V* DN Hyi,V* DN Hyi,Gaia DR3 4631627865115662976,55.17393583271262,20.823607115889587,-79.69230383760336
V* BQ Hyi A,V* BQ Hyi A,Gaia DR3 4644868351640807808,283.868896484375,34.5037265772639,-71.46735247595306
V* YY Men,V* YY Men,Gaia DR3 4649182702130967296,219.3607826792726,74.57466483105831,-75.27723252538463
2MASS J05003851-7252026,2MASS J05003851-7252026,Gaia DR3 4649950401772979072,354.8044128417969,75.16069886077983,-72.86751341898106
HD 271037,HD 271037,Gaia DR3 4651456423469407744,142.07168937445834,76.71064912362031,-72.35312379146879
2MASS J04085395-7203535,2MASS J04085395-7203535,Gaia DR3 4653742651724109952,,62.22484923692996,-72.0647062591783
Flo 156,Flo 156,Gaia DR3 4685490259707560832,181.73350524902344,11.01431433569211,-74.626165947527
HD  12695,HD  12695,Gaia DR3 4713123529528076288,66.393798828125,30.550946474652072,-62.59175934688425
UCAC4 157-001576,UCAC4 157-001576,Gaia DR3 4717948633228035968,45.47159957885742,27.73788772434314,-58.73434458074919
L  173-39,L  173-39,Gaia DR3 4719084256940884608,20.910921565224303,27.111207764279293,-56.9782811568962
CD-58   693,CD-58   693,Gaia DR3 4729955162764256512,240.66600036621094,51.91630075781836,-58.16356101429644
LEHPM 3427,LEHPM 3427,Gaia DR3 4730672387943135616,29.649099349975586,54.19846408033787,-55.75124359679025
CD-53   544,CD-53   544,Gaia DR3 4742040410461492096,43.59749052844518,40.445863483694914,-52.99795055090574
V* ER Eri,V* ER Eri,Gaia DR3 4743636248509810944,207.62840270996094,32.53326142452378,-54.511076694507764
HD  13183,HD  13183,Gaia DR3 4743944043046490240,49.50709915161133,31.825892379213336,-53.19913777685722
EXO 0235.2-5216,EXO 0235.2-5216,Gaia DR3 4745195905754074496,38.83917474521501,39.21616683987317,-52.051001697179956
TYC 8055-1068-1,TYC 8055-1068-1,Gaia DR3 4746142619625208192,287.61252840173717,37.15194955215728,-50.351658552031985
V* MV Eri,V* MV Eri,Gaia DR3 4752256797628777728,361.5085144042969,42.79798080458583,-47.88549198147656
V* XZ Pic,V* XZ Pic,Gaia DR3 4759113214700934784,47.882630097105974,86.30565559325913,-59.92324383347157
ASAS J051837-5803.2,ASAS J051837-5803.2,Gaia DR3 4763215458223067136,318.1876034109711,79.65655716533693,-58.053296394174836
RX J0505.6-5755,RX J0505.6-5755,Gaia DR3 4763797134235000448,91.1552963256836,76.40222807726181,-57.92655614051509
CPD-56   965,CPD-56   965,Gaia DR3 4767150777842690048,63.45137403950483,88.42238883713685,-56.67702185382159
Gaia DR3 4767761453472575360,,Gaia DR3 4767761453472575360,99.36029815673828,88.17333912193988,-54.48617940627062
SIPS J0542-5314,SIPS J0542-5314,Gaia DR3 4768909313548256640,24.680299758911133,85.72842607413263,-53.248773630162184
HD  35139,HD  35139,Gaia DR3 4772070821795189760,159.34970092773438,79.93686815918612,-52.0380680207484
CD-56  1032B,CD-56  1032B,Gaia DR3 4776266798684508928,11.086299896240234,73.37843024194483,-55.858486559127094
V* AG Dor,V* AG Dor,Gaia DR3 4780401443441735168,33.64726229050373,61.87273873790832,-52.57248367150858
V* W Cae,V* W Cae,Gaia DR3 4787243704301393792,342.9419860839844,72.58987915393729,-45.78042576176694
CD-48  1893,CD-48  1893,Gaia DR3 4795596831576255488,24.53536158989143,84.22975768680871,-47.963304982766054
